company,category,item,fiscal_year,amount
CJ제일제당,Ⅲ. 매출총이익(Ⅰ - Ⅱ),매출총이익,2025,5908030000000
CJ제일제당,Ⅳ. 판매비와 관리비,판매및일반관리비,2024,4698310000000
CJ제일제당,Ⅳ. 판매비와 관리비,판매및일반관리비,2025,4675060000000
CJ제일제당,Ⅴ. 영업손익(Ⅲ - Ⅳ),영업이익,2024,1452070000000
CJ제일제당,Ⅴ. 영업손익(Ⅲ - Ⅳ),영업이익,2025,1233600000000
CJ제일제당,Ⅷ. 당기순손익(Ⅴ+Ⅵ-Ⅶ),당기순이익,2024,345926000000
CJ제일제당,Ⅷ. 당기순손익(Ⅴ+Ⅵ-Ⅶ),당기순이익,2025,-416955000000
CJ제일제당,① 인건비,"급여,판관비",2024,1416520000000
CJ제일제당,① 인건비,"급여,판관비",2025,1366880000000
CJ제일제당,① 인건비,"퇴직급여,판관비",2024,83720281000
CJ제일제당,① 인건비,"퇴직급여,판관비",2025,91901779000
CJ제일제당,② 복리후생비,"교육훈련비,판관비",2024,22277392000
CJ제일제당,② 복리후생비,"교육훈련비,판관비",2025,22423171000
CJ제일제당,② 복리후생비,"복리후생비,판관비",2024,307131000000
CJ제일제당,② 복리후생비,"복리후생비,판관비",2025,309574000000
CJ제일제당,② 복리후생비,"여비교통비,판관비",2024,73877768000
CJ제일제당,② 복리후생비,"여비교통비,판관비",2025,70386187000
CJ제일제당,② 복리후생비,"회의비,판관비",2024,6516423000
CJ제일제당,② 복리후생비,"회의비,판관비",2025,7246615000
CJ제일제당,③ 지급/용역수수료,"지급수수료,판관비",2024,662063000000
CJ제일제당,③ 지급/용역수수료,"지급수수료,판관비",2025,677286000000
CJ제일제당,③ 지급/용역수수료,"판매수수료,판관비",2024,119450000000
CJ제일제당,③ 지급/용역수수료,"판매수수료,판관비",2025,92880478000
CJ제일제당,④ 광고선전비,"광고선전비,판관비",2024,206551000000
CJ제일제당,④ 광고선전비,"광고선전비,판관비",2025,231982000000
CJ제일제당,④ 광고선전비,"판매촉진비,판관비",2024,141925000000
CJ제일제당,④ 광고선전비,"판매촉진비,판관비",2025,152374000000
CJ제일제당,④ 광고선전비,"행사비,판관비",2024,9758694000
CJ제일제당,④ 광고선전비,"행사비,판관비",2025,7128579000
CJ제일제당,⑤ 임차/관리비,"사용권자산상각비,판관비",2024,99629754000
CJ제일제당,⑤ 임차/관리비,"사용권자산상각비,판관비",2025,113107000000
CJ제일제당,⑤ 임차/관리비,"임차료,판관비",2024,54224527000
CJ제일제당,⑤ 임차/관리비,"임차료,판관비",2025,55344128000
CJ제일제당,⑥ 감가상각비,"감가상각비,판관비",2024,101782000000
CJ제일제당,⑥ 감가상각비,"감가상각비,판관비",2025,106607000000
CJ제일제당,⑥ 감가상각비,"무형자산상각비,판관비",2024,131424000000
CJ제일제당,⑥ 감가상각비,"무형자산상각비,판관비",2025,128444000000
CJ제일제당,⑦ 물류/운반비,"운반비,판관비",2024,898146000000
CJ제일제당,⑦ 물류/운반비,"운반비,판관비",2025,875266000000
CJ제일제당,⑨ 기타판관비,기타판매비와관리비,2024,207624000000
CJ제일제당,⑨ 기타판관비,기타판매비와관리비,2025,206031000000
CJ제일제당,⑨ 기타판관비,"보험료,판관비",2024,31975436000
CJ제일제당,⑨ 기타판관비,"보험료,판관비",2025,36394738000
CJ제일제당,⑨ 기타판관비,"세금과공과,판관비",2024,74898321000
CJ제일제당,⑨ 기타판관비,"세금과공과,판관비",2025,74270923000
CJ제일제당,⑨ 기타판관비,"소모품비,판관비",2024,1937199000
CJ제일제당,⑨ 기타판관비,"소모품비,판관비",2025,1213309000
CJ제일제당,⑨ 기타판관비,"조사분석비,판관비",2024,44917704000
CJ제일제당,⑨ 기타판관비,"조사분석비,판관비",2025,46317111000
CJ제일제당,⑨ 기타판관비,"투자부동산감가상각비,판관비",2024,1961034000
CJ제일제당,⑨ 기타판관비,"투자부동산감가상각비,판관비",2025,1996021000
CJ제일제당,리스부채,비유동리스부채,2024,1644450000000
CJ제일제당,리스부채,비유동리스부채,2025,1821580000000
CJ제일제당,리스부채,유동리스부채,2024,467171000000
CJ제일제당,리스부채,유동리스부채,2025,464083000000
CJ제일제당,부채총계,부채총계,2024,17906800000000
CJ제일제당,부채총계,부채총계,2025,18193600000000
CJ제일제당,사용권자산,사용권자산,2024,2104760000000
CJ제일제당,사용권자산,사용권자산,2025,2196620000000
CJ제일제당,순운전자본+,기타유동금융자산,2024,562596000000
CJ제일제당,순운전자본+,기타유동금융자산,2025,336897000000
CJ제일제당,순운전자본+,단기금융상품,2024,359387000000
CJ제일제당,순운전자본+,단기금융상품,2025,243276000000
CJ제일제당,순운전자본+,유동매출채권,2024,3176650000000
CJ제일제당,순운전자본+,유동매출채권,2025,2919040000000
CJ제일제당,순운전자본+,현금및현금성자산,2024,1301780000000
CJ제일제당,순운전자본+,현금및현금성자산,2025,1038960000000
CJ제일제당,순운전자본-,기타유동금융부채,2024,686238000000
CJ제일제당,순운전자본-,기타유동금융부채,2025,665657000000
CJ제일제당,순운전자본-,단기미지급금,2024,672810000000
CJ제일제당,순운전자본-,단기미지급금,2025,465855000000
CJ제일제당,순운전자본-,단기차입금,2024,3379010000000
CJ제일제당,순운전자본-,단기차입금,2025,2760320000000
CJ제일제당,순운전자본-,유동매입채무,2024,1915690000000
CJ제일제당,순운전자본-,유동매입채무,2025,1884920000000
CJ제일제당,영업활동현금흐름,영업활동현금흐름,2024,2255250000000
CJ제일제당,영업활동현금흐름,영업활동현금흐름,2025,2481610000000
CJ제일제당,이익잉여금,이익잉여금,2024,5731220000000
CJ제일제당,이익잉여금,이익잉여금,2025,5025740000000
CJ제일제당,자본총계,자본총계,2024,12226900000000
CJ제일제당,자본총계,자본총계,2025,11551200000000
CJ제일제당,자산총계,자산총계,2024,30133700000000
CJ제일제당,자산총계,자산총계,2025,29744800000000
CJ제일제당,재고자산,유동재고자산,2024,2520540000000
CJ제일제당,재고자산,유동재고자산,2025,2181890000000
CJ제일제당,재무활동현금흐름,재무활동현금흐름,2024,-1863280000000
CJ제일제당,재무활동현금흐름,재무활동현금흐름,2025,-1102040000000
CJ제일제당,투자활동현금흐름,투자활동현금흐름,2024,-1103530000000
CJ제일제당,투자활동현금흐름,투자활동현금흐름,2025,-1526840000000
CJ제일제당,현금의 증감,환율변동효과반영전현금및현금성자산의순증가,2024,-711548000000
CJ제일제당,현금의 증감,환율변동효과반영전현금및현금성자산의순증가,2025,-147265000000
NC,Ⅰ. 매출액,영업수익,2024,1578120000000
NC,Ⅰ. 매출액,영업수익,2025,1506930000000
NC,Ⅳ. 판매비와 관리비,영업비용,2024,1687340000000
NC,Ⅳ. 판매비와 관리비,영업비용,2025,1490850000000
NC,Ⅴ. 영업손익(Ⅲ - Ⅳ),영업이익,2024,-109215000000
NC,Ⅴ. 영업손익(Ⅲ - Ⅳ),영업이익,2025,16078426029
NC,Ⅷ. 당기순손익(Ⅴ+Ⅵ-Ⅶ),연결당기순이익,2024,94115833907
NC,Ⅷ. 당기순손익(Ⅴ+Ⅵ-Ⅶ),연결당기순이익,2025,347422000000
NC,① 인건비,급여및상여금,2024,755998000000
NC,① 인건비,급여및상여금,2025,637276000000
NC,① 인건비,퇴직급여,2024,44219426000
NC,① 인건비,퇴직급여,2025,52451775000
NC,② 복리후생비,교육훈련비,2024,767419000
NC,② 복리후생비,교육훈련비,2025,748647000
NC,② 복리후생비,도서인쇄비,2024,302988000
NC,② 복리후생비,도서인쇄비,2025,221890000
NC,② 복리후생비,복리후생비,2024,126179000000
NC,② 복리후생비,복리후생비,2025,113023000000
NC,② 복리후생비,여비교통비,2024,4453410000
NC,② 복리후생비,여비교통비,2025,7976520000
NC,② 복리후생비,차량유지비,2024,2625495000
NC,② 복리후생비,차량유지비,2025,1701589000
NC,③ 지급/용역수수료,로열티비용,2024,3198446000
NC,③ 지급/용역수수료,로열티비용,2025,5147452000
NC,③ 지급/용역수수료,지급수수료,2024,410436000000
NC,③ 지급/용역수수료,지급수수료,2025,380937000000
NC,④ 광고선전비,광고선전비,2024,128260000000
NC,④ 광고선전비,광고선전비,2025,105662000000
NC,⑤ 임차/관리비,수도광열비,2024,7414126000
NC,⑤ 임차/관리비,수도광열비,2025,7273847000
NC,⑤ 임차/관리비,지급임차료,2024,1575614000
NC,⑤ 임차/관리비,지급임차료,2025,1682445000
NC,⑤ 임차/관리비,통신비,2024,14185239000
NC,⑤ 임차/관리비,통신비,2025,19699078000
NC,⑥ 감가상각비,감가상각비,2024,105869000000
NC,⑥ 감가상각비,감가상각비,2025,90910795000
NC,⑥ 감가상각비,무형자산상각비,2024,3308020000
NC,⑥ 감가상각비,무형자산상각비,2025,4676673000
NC,⑦ 물류/운반비,운반비,2024,130563000
NC,⑦ 물류/운반비,운반비,2025,131022000
NC,⑨ 기타판관비,기타비용,2024,17776772000
NC,⑨ 기타판관비,기타비용,2025,13113851000
NC,⑨ 기타판관비,대손상각비,2024,494994000
NC,⑨ 기타판관비,대손상각비,2025,1032553000
NC,⑨ 기타판관비,보험료,2024,1006846000
NC,⑨ 기타판관비,보험료,2025,847604000
NC,⑨ 기타판관비,상품매출원가,2024,4295397000
NC,⑨ 기타판관비,상품매출원가,2025,5252697000
NC,⑨ 기타판관비,세금과공과금,2024,10791096000
NC,⑨ 기타판관비,세금과공과금,2025,5899238000
NC,⑨ 기타판관비,소모품비,2024,43779230000
NC,⑨ 기타판관비,소모품비,2025,34904129000
NC,⑨ 기타판관비,수선비,2024,17928000
NC,⑨ 기타판관비,수선비,2025,34813000
NC,⑨ 기타판관비,접대비,2024,253340000
NC,⑨ 기타판관비,접대비,2025,241271000
NC,리스부채,비유동리스부채,2024,163806000000
NC,리스부채,비유동리스부채,2025,137867000000
NC,리스부채,유동리스부채,2024,45845075089
NC,리스부채,유동리스부채,2025,49240156099
NC,부채총계,부채총계,2024,890353000000
NC,부채총계,부채총계,2025,962710000000
NC,순운전자본+,단기금융상품,2024,178293000000
NC,순운전자본+,단기금융상품,2025,491465000000
NC,순운전자본+,매출채권,2024,130279000000
NC,순운전자본+,매출채권,2025,187483000000
NC,순운전자본+,현금및현금성자산,2024,1260470000000
NC,순운전자본+,현금및현금성자산,2025,503522000000
NC,순운전자본-,기타유동지급채무,2024,70549194791
NC,순운전자본-,기타유동지급채무,2025,105862000000
NC,순운전자본-,유동성사채및차입금,2024,0
NC,순운전자본-,유동성사채및차입금,2025,129966000000
NC,영업활동현금흐름,영업활동현금흐름,2024,107041000000
NC,영업활동현금흐름,영업활동현금흐름,2025,161968000000
NC,이익잉여금,이익잉여금,2024,3473870000000
NC,이익잉여금,이익잉여금,2025,3669050000000
NC,자본총계,자본총계,2024,3063590000000
NC,자본총계,자본총계,2025,3370430000000
NC,자산총계,자산총계,2024,3953940000000
NC,자산총계,자산총계,2025,4333140000000
NC,재고자산,유동재고자산,2024,1052133087
NC,재고자산,유동재고자산,2025,1291590997
NC,재무활동현금흐름,재무활동현금흐름,2024,-522940000000
NC,재무활동현금흐름,재무활동현금흐름,2025,-82491719521
NC,투자활동현금흐름,투자활동현금흐름,2024,1294120000000
NC,투자활동현금흐름,투자활동현금흐름,2025,-832439000000
NC,현금의 증감,현금및현금성자산의증가,2024,878219000000
NC,현금의 증감,현금및현금성자산의증가,2025,-752963000000
NHN,Ⅰ. 매출액,영업수익,2024,2456110000000
NHN,Ⅰ. 매출액,영업수익,2025,2516230000000
NHN,Ⅳ. 판매비와 관리비,영업비용,2024,2488730000000
NHN,Ⅳ. 판매비와 관리비,영업비용,2025,2383800000000
NHN,Ⅴ. 영업손익(Ⅲ - Ⅳ),영업이익,2024,-32619646834
NHN,Ⅴ. 영업손익(Ⅲ - Ⅳ),영업이익,2025,132434000000
NHN,Ⅷ. 당기순손익(Ⅴ+Ⅵ-Ⅶ),당기순이익,2024,-192599000000
NHN,Ⅷ. 당기순손익(Ⅴ+Ⅵ-Ⅶ),당기순이익,2025,51909280522
NHN,① 인건비,단기종업원급여비용,2024,346858000000
NHN,① 인건비,단기종업원급여비용,2025,344146000000
NHN,① 인건비,당기손익에포함되는퇴직급여비용,2024,28898750000
NHN,① 인건비,당기손익에포함되는퇴직급여비용,2025,29272108000
NHN,② 복리후생비,교육훈련비,2024,2005039000
NHN,② 복리후생비,교육훈련비,2025,1874526000
NHN,② 복리후생비,복리후생비,2024,60554942000
NHN,② 복리후생비,복리후생비,2025,58178855000
NHN,② 복리후생비,여비교통비,2024,5519925000
NHN,② 복리후생비,여비교통비,2025,5325203000
NHN,③ 지급/용역수수료,외주용역비,2024,744170000
NHN,③ 지급/용역수수료,외주용역비,2025,142278000
NHN,③ 지급/용역수수료,지급수수료,2024,1474070000000
NHN,③ 지급/용역수수료,지급수수료,2025,1603510000000
NHN,④ 광고선전비,광고비,2024,67064164000
NHN,④ 광고선전비,광고비,2025,86816276000
NHN,⑤ 임차/관리비,수도광열비,2024,12837355000
NHN,⑤ 임차/관리비,수도광열비,2025,12729956000
NHN,⑤ 임차/관리비,임차료,2024,3644626000
NHN,⑤ 임차/관리비,임차료,2025,4844213000
NHN,⑤ 임차/관리비,통신비,2024,14749524000
NHN,⑤ 임차/관리비,통신비,2025,14779862000
NHN,⑥ 감가상각비,"감가상각비,사용권자산",2024,23885067000
NHN,⑥ 감가상각비,"감가상각비,사용권자산",2025,21915463000
NHN,⑥ 감가상각비,"감가상각비,유형자산",2024,61970090000
NHN,⑥ 감가상각비,"감가상각비,유형자산",2025,63905043000
NHN,⑥ 감가상각비,"감가상각비,투자부동산",2024,138839000
NHN,⑥ 감가상각비,"감가상각비,투자부동산",2025,99437000
NHN,⑥ 감가상각비,무형자산상각비,2024,18471969000
NHN,⑥ 감가상각비,무형자산상각비,2025,17493685000
NHN,⑦ 물류/운반비,운반비,2024,9307730000
NHN,⑦ 물류/운반비,운반비,2025,8943569000
NHN,⑨ 기타판관비,기타비용,2024,7569378000
NHN,⑨ 기타판관비,기타비용,2025,9725503000
NHN,⑨ 기타판관비,대손상각비,2024,156978000000
NHN,⑨ 기타판관비,대손상각비,2025,777740000
NHN,⑨ 기타판관비,보험료,2024,4450857000
NHN,⑨ 기타판관비,보험료,2025,4124671000
NHN,⑨ 기타판관비,세금과공과,2024,8154541000
NHN,⑨ 기타판관비,세금과공과,2025,8608230000
NHN,⑨ 기타판관비,소모품비,2024,6202059000
NHN,⑨ 기타판관비,소모품비,2025,5164162000
NHN,⑨ 기타판관비,제품과재공품의증가,2024,172245000000
NHN,⑨ 기타판관비,제품과재공품의증가,2025,77089675000
NHN,⑨ 기타판관비,종업원주식기준보상거래로부터의비용,2024,2411230000
NHN,⑨ 기타판관비,종업원주식기준보상거래로부터의비용,2025,4332344000
NHN,리스부채,비유동리스부채,2024,54179292762
NHN,리스부채,비유동리스부채,2025,37749838179
NHN,리스부채,유동리스부채,2024,18716361256
NHN,리스부채,유동리스부채,2025,16969272202
NHN,부채총계,부채총계,2024,1427670000000
NHN,부채총계,부채총계,2025,2080600000000
NHN,사용권자산,사용권자산,2024,74215055043
NHN,사용권자산,사용권자산,2025,54632908342
NHN,순운전자본+,단기금융상품,2024,125675000000
NHN,순운전자본+,단기금융상품,2025,102299000000
NHN,순운전자본+,매출채권및기타유동채권,2024,524170000000
NHN,순운전자본+,매출채권및기타유동채권,2025,429639000000
NHN,순운전자본+,유동당기손익공정가치측정금융자산,2024,31325684308
NHN,순운전자본+,유동당기손익공정가치측정금융자산,2025,19098604351
NHN,순운전자본+,현금및현금성자산,2024,621779000000
NHN,순운전자본+,현금및현금성자산,2025,1563680000000
NHN,순운전자본-,기타유동금융부채,2024,5243581997
NHN,순운전자본-,기타유동금융부채,2025,3747047524
NHN,순운전자본-,매입채무및기타유동채무,2024,574885000000
NHN,순운전자본-,매입채무및기타유동채무,2025,1268940000000
NHN,순운전자본-,유동차입금및비유동차입금,2024,96032425050
NHN,순운전자본-,유동차입금및비유동차입금,2025,79952101025
NHN,영업활동현금흐름,영업활동현금흐름,2024,47032770723
NHN,영업활동현금흐름,영업활동현금흐름,2025,373978000000
NHN,이익잉여금,미처분이익잉여금,2024,324788000000
NHN,이익잉여금,미처분이익잉여금,2025,629904000000
NHN,자본총계,자본총계,2024,1765360000000
NHN,자본총계,자본총계,2025,1770820000000
NHN,자산총계,자산총계,2024,3193040000000
NHN,자산총계,자산총계,2025,3851420000000
NHN,재고자산,유동재고자산,2024,49371283462
NHN,재고자산,유동재고자산,2025,25855850748
NHN,재무활동현금흐름,재무활동현금흐름,2024,-149215000000
NHN,재무활동현금흐름,재무활동현금흐름,2025,554109000000
NHN,투자활동현금흐름,투자활동현금흐름,2024,-50460387501
NHN,투자활동현금흐름,투자활동현금흐름,2025,12784899939
NHN,현금의 증감,환율변동효과반영전현금및현금성자산의순증가,2024,-152642000000
NHN,현금의 증감,환율변동효과반영전현금및현금성자산의순증가,2025,940872000000
TP(태평양물산),Ⅰ. 매출액,매출액,2024,1064150000000
TP(태평양물산),Ⅰ. 매출액,매출액,2025,1028990000000
TP(태평양물산),Ⅱ. 매출원가,매출원가,2024,897218000000
TP(태평양물산),Ⅱ. 매출원가,매출원가,2025,855505000000
TP(태평양물산),Ⅲ. 매출총이익(Ⅰ - Ⅱ),매출총이익,2024,166933000000
TP(태평양물산),Ⅲ. 매출총이익(Ⅰ - Ⅱ),매출총이익,2025,173483000000
TP(태평양물산),Ⅳ. 판매비와 관리비,판매비와관리비,2024,117105000000
TP(태평양물산),Ⅳ. 판매비와 관리비,판매비와관리비,2025,109542000000
TP(태평양물산),Ⅴ. 영업손익(Ⅲ - Ⅳ),영업이익,2024,48931866971
TP(태평양물산),Ⅴ. 영업손익(Ⅲ - Ⅳ),영업이익,2025,62006155691
TP(태평양물산),Ⅷ. 당기순손익(Ⅴ+Ⅵ-Ⅶ),당기순이익,2024,22354312028
TP(태평양물산),Ⅷ. 당기순손익(Ⅴ+Ⅵ-Ⅶ),당기순이익,2025,37970490479
TP(태평양물산),리스부채,리스부채,2024,17325101502
TP(태평양물산),리스부채,리스부채,2025,13455862943
TP(태평양물산),부채총계,부채총계,2024,510410000000
TP(태평양물산),부채총계,부채총계,2025,481847000000
TP(태평양물산),사용권자산,사용권자산,2024,13939624292
TP(태평양물산),사용권자산,사용권자산,2025,10918608512
TP(태평양물산),순운전자본+,매출채권및기타채권,2024,65384316366
TP(태평양물산),순운전자본+,매출채권및기타채권,2025,55813127803
TP(태평양물산),순운전자본+,현금및현금성자산,2024,13504845945
TP(태평양물산),순운전자본+,현금및현금성자산,2025,17695899894
TP(태평양물산),순운전자본-,매입채무및기타채무,2024,101991000000
TP(태평양물산),순운전자본-,매입채무및기타채무,2025,79581618884
TP(태평양물산),순운전자본-,차입금및사채,2024,325847545161
TP(태평양물산),순운전자본-,차입금및사채,2025,312983000000
TP(태평양물산),영업활동현금흐름,영업활동현금흐름,2024,16152724261
TP(태평양물산),영업활동현금흐름,영업활동현금흐름,2025,51969812155
TP(태평양물산),이익잉여금,이익잉여금,2024,91637282990
TP(태평양물산),이익잉여금,이익잉여금,2025,128491000000
TP(태평양물산),자본총계,자본총계,2024,241920000000
TP(태평양물산),자본총계,자본총계,2025,284914000000
TP(태평양물산),자산총계,자산총계,2024,752330000000
TP(태평양물산),자산총계,자산총계,2025,766761000000
TP(태평양물산),재고자산,재고자산,2024,230248000000
TP(태평양물산),재고자산,재고자산,2025,231048000000
TP(태평양물산),재무활동현금흐름,재무활동현금흐름,2024,-19162086494
TP(태평양물산),재무활동현금흐름,재무활동현금흐름,2025,-6047491288
TP(태평양물산),투자활동현금흐름,투자활동현금흐름,2024,-6082503047
TP(태평양물산),투자활동현금흐름,투자활동현금흐름,2025,-41299047650
TP(태평양물산),현금의 증감,현금및현금성자산의변동,2024,-9091865280
TP(태평양물산),현금의 증감,현금및현금성자산의변동,2025,4623273217
고피자,Ⅰ. 매출액,매출액,2024,19933020391
고피자,Ⅰ. 매출액,매출액,2025,16906166448
고피자,Ⅱ. 매출원가,매출원가,2024,13081983149
고피자,Ⅱ. 매출원가,매출원가,2025,9853697736
고피자,Ⅲ. 매출총이익(Ⅰ - Ⅱ),매출총이익,2024,6851037242
고피자,Ⅲ. 매출총이익(Ⅰ - Ⅱ),매출총이익,2025,7052468712
고피자,Ⅳ. 판매비와 관리비,판매비와관리비,2024,10709677346
고피자,Ⅳ. 판매비와 관리비,판매비와관리비,2025,10019702800
고피자,Ⅴ. 영업손익(Ⅲ - Ⅳ),영업이익,2024,-3858640104
고피자,Ⅴ. 영업손익(Ⅲ - Ⅳ),영업이익,2025,-2967234088
고피자,Ⅷ. 당기순손익(Ⅴ+Ⅵ-Ⅶ),당기순이익,2024,-11187046908
고피자,Ⅷ. 당기순손익(Ⅴ+Ⅵ-Ⅶ),당기순이익,2025,-6822577131
고피자,① 인건비,직원급여,2024,3911314464
고피자,① 인건비,직원급여,2025,4003302589
고피자,① 인건비,퇴직급여,2024,310601797
고피자,① 인건비,퇴직급여,2025,313770796
고피자,② 복리후생비,교육훈련비,2024,2531455
고피자,② 복리후생비,교육훈련비,2025,8195660
고피자,② 복리후생비,도서인쇄비,2024,1477597
고피자,② 복리후생비,도서인쇄비,2025,7033335
고피자,② 복리후생비,복리후생비,2024,366919016
고피자,② 복리후생비,복리후생비,2025,314486808
고피자,② 복리후생비,여비교통비,2024,306152489
고피자,② 복리후생비,여비교통비,2025,296355213
고피자,③ 지급/용역수수료,지급수수료,2024,1110990562
고피자,③ 지급/용역수수료,지급수수료,2025,849482073
